num_agents,replication,total_customers,avg_wait_min,utilization,throughput_per_hr,queue_95th_percentile
3,11,134,0.0015143975166357795,0.5075921540396111,16.75,0.0
3,12,145,0.032676332656778634,0.5693131844863356,18.125,0.0
3,13,144,0.03191702037181719,0.556126306196836,18.0,0.0
3,14,125,0.03415172717645487,0.4896194893951439,15.625,0.0
3,15,134,0.01672298537265864,0.5383146772143559,16.75,0.0
3,16,142,0.045634384483229956,0.5674483755276121,17.75,0.0
3,17,143,0.09101221245361983,0.5492866419815639,17.875,0.6060800044517208
3,18,137,0.017964824275290923,0.5269576383947958,17.125,0.0
3,19,143,0.03058206575645185,0.5506784227431938,17.875,0.0
3,20,138,0.017294313029589888,0.5103561726592586,17.25,0.0
3,21,135,0.025901691377683278,0.5066813797664012,16.875,0.0
3,22,134,0.018259231139652738,0.5156320161854313,16.75,0.0
3,23,139,0.029857336309535364,0.5450476073072495,17.375,0.0
3,24,139,0.02727070468065363,0.5044627565643045,17.375,0.0
3,25,132,0.06931354629368788,0.51345817060965,16.5,0.08352685566244444
3,26,133,0.06773099354065831,0.5311901637154588,16.625,0.029258827688725283
3,27,138,0.03328212618862947,0.5363083600800437,17.25,0.03812940154534348
3,28,140,0.02096957250830128,0.5213701406547917,17.5,0.0
3,29,136,0.02995090587334883,0.5282142427155985,17.0,0.0
3,30,145,0.028596313161063862,0.5628302707637173,18.125,0.0
5,1,131,0.0,0.29808978791865426,16.375,0.0
5,2,135,0.0,0.30772879945430304,16.875,0.0
5,3,144,0.0,0.32659519898348993,18.0,0.0
5,4,131,0.0,0.3014472912404245,16.375,0.0
5,5,137,0.0,0.3201445848907031,17.125,0.0
5,6,142,0.0,0.33623433949796433,17.75,0.0
5,7,133,0.0,0.3068692691526787,16.625,0.0
5,8,138,0.0,0.31604157691317075,17.25,0.0
5,9,137,0.0,0.3203525429579012,17.125,0.0
5,10,136,0.0,0.3057284927385631,17.0,0.0
5,11,141,0.0,0.3229855920706992,17.625,0.0
5,12,136,0.0,0.3198487968274348,17.0,0.0
5,13,143,0.0,0.33773174718718424,17.875,0.0
5,14,135,0.0,0.3040649251288476,16.875,0.0
5,15,143,0.0,0.32433703471176123,17.875,0.0
5,16,136,0.0,0.3150294896335273,17.0,0.0
5,17,138,0.0,0.32043287580201724,17.25,0.0
5,18,150,0.0,0.34478291729445354,18.75,0.0
5,19,129,0.00382495404594161,0.29449077722443906,16.125,0.0
5,20,142,0.0,0.3359159955174773,17.75,0.0
5,21,138,0.0,0.31487738613092614,17.25,0.0
5,22,142,0.0,0.32504311475135894,17.75,0.0
5,23,143,0.0,0.3292806242445161,17.875,0.0
5,24,151,0.0,0.33661739001483626,18.875,0.0
5,25,137,0.0,0.3108247485109075,17.125,0.0
5,26,135,0.0,0.314452883116957,16.875,0.0
5,27,133,0.0,0.2949272598940259,16.625,0.0
5,28,139,0.0,0.2957354813734543,17.375,0.0
5,29,140,0.0,0.32117890323968745,17.5,0.0
5,30,137,0.0,0.3225614612496581,17.125,0.0
